nama_spklu,periode_data,owner_operator,lokasi,jumlah_unit,teknologi
"(VOLTRON) APARTEMEN BONA VISTA",2025,VOLTRON,"APARTEMEN BONA VISTA, JALAN BONA VISTA RAYA, RT.10/RW.6, LEBAK BULUS, SOUTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) HOTEL NEO+ @ ICON KEBAYORAN",2025,VOLTRON,"HOTEL NEO+ KEBAYORAN, JALAN CILEDUG RAYA, CIPULIR, SOUTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) SPRINGHILL ROYALE SUITES",2025,VOLTRON,"SPRINGHILL ROYALE SUITES, JALAN DAMAR, EAST PADEMANGAN, NORTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) MALL MATAHARI DAAN MOGOT",2025,VOLTRON,"MALL MATAHARI DAAN MOGOT, DAAN MOGOT ROAD, KALIDERES, WEST JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) MCDONALD'S CIPUTRA INTERNATIONAL",2025,VOLTRON,"MCDONALDS CIPUTRA INTERNATIONAL, JALAN LINGKAR LUAR BARAT, RT.1, RAWA BUAYA, WEST JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) THE CITY TOWER",2025,VOLTRON,"THE CITY TOWER, JALAN M.H. THAMRIN, DUKUH ATAS, MENTENG, CENTRAL JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) BRAWIJAYA HOSPITAL SAHARJO",2025,VOLTRON,"BRAWIJAYA HOSPITAL SAHARJO, JALAN DOKTOR SAHARJO, RT.1/RW.1, WEST TEBET, SOUTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) BATAVIA PIK",2025,VOLTRON,"BATAVIA PIK, KAWASAN PANTAI MAJU, KAMAL MUARA, NORTH JAKARTA CITY, JAKARTA, INDONESIA",6,"MEDIUM CHARGING"
"(VOLTRON) REGATTA MARKETING OFFICE",2025,VOLTRON,"REGATTA, JALAN PANTAI MUTIARA REGATTA, PLUIT, NORTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) HK TOWER CAWANG",2025,VOLTRON,"HK TOWER, JL. BIRU LAUT X, RT.11/RW.11, CIPINANG CEMPEDAK, EAST JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) HK TOWER CAWANG",2025,VOLTRON,"HK TOWER, JL. BIRU LAUT X, RT.11/RW.11, CIPINANG CEMPEDAK, EAST JAKARTA CITY, JAKARTA, INDONESIA",1,"ULTRA FAST CHARGING"
"(VOLTRON) SPRINGHILL TERRACE RESIDENCES",2025,VOLTRON,"APARTEMEN SPRINGHILL KEMAYORAN (SPRINGHILLKEMAYORAN.COM), EAST PADEMANGAN, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) BY THE SEA SHOPPING DISTRICT AT GOLF ISLAND PIK",2025,VOLTRON,"BY THE SEA SHOPING MALL AT PIK 2, KAMAL MUARA, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) MCDONALD'S AMPERA",2025,VOLTRON,"JL. A NO.49, RT.5/RW.10, RAGUNAN, PS. MINGGU, KOTA JAKARTA SELATAN,DKI JAKARTA 12540",1,"ULTRA FAST CHARGING"
"(VOLTRON) PLAZA MANDIRI",2025,VOLTRON,"PLAZA MANDIRI, JALAN GATOT SUBROTO, RT.7/RW.3, SENAYAN, SOUTH JAKARTA CITY, JAKARTA, INDONESIA",1,"ULTRA FAST CHARGING"
"(VOLTRON) APARTEMEN MENARA MARINA CONDOMINIUM",2025,VOLTRON,"APARTEMEN MENARA MARINA CONDOMINIUM, JALAN PLUIT SAMUDRA II JALAN PANTAI MUTIARA, RT.9/RW.5, PLUIT, NORTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) AIRLANGGA APARTMENT",2025,VOLTRON,"AIRLANGGA APARTMENT, LINGKAR MEGA KUNINGAN, RT.5/RW.2, KUNINGAN, EAST KUNINGAN, SOUTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) LIPPO THAMRIN",2025,VOLTRON,"LIPPO THAMRIN, JALAN M.H. THAMRIN, RT.9/RW.4, GONDANGDIA, CENTRAL JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) MANDIRI UNIVERSITY DAAN MOGOT",2025,VOLTRON,"RT.5/RW.4, WIJAYA KUSUMA, GROGOL PETAMBURAN, WEST JAKARTA CITY, JAKARTA 11460",2,"MEDIUM CHARGING"
"(VOLTRON) THE ELEMENTS",2025,VOLTRON,"THE ELEMENTS, JALAN EPICENTRUM TENGAH, RT.1/RW.5, KARET KUNINGAN, SOUTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(STARVO) ANTAM OFFICE BUILDING",2025,VOLTRON,"ANTAM OFFICE BUILDING, JAGAKARSA, KOTA JAKARTA SELATAN, DKI JAKARTA",2,"MEDIUM CHARGING"
"(STARVO) ANTAM OFFICE BUILDING",2025,VOLTRON,"ANTAM OFFICE BUILDING, JAGAKARSA, KOTA JAKARTA SELATAN, DKI JAKARTA",2,"STANDART CHARGING"
"(STARVO) APARTEMEN PERMATA SENAYAN",2025,VOLTRON,"APARTEMEN PERMATA SENAYAN, TANAH ABANG, KOTA JAKARTA PUSATDKI JAKARTA",1,"STANDART CHARGING"
"(STARVO) ASYANA KEMAYORAN JAKARTA",2025,VOLTRON,"ASYANA KEMAYORAN JAKARTA, KEMAYORAN, KOTA JAKARTA PUSATDKI JAKARTA",1,"MEDIUM CHARGING"
"(STARVO) ASYANA KEMAYORAN JAKARTA",2025,VOLTRON,"ASYANA KEMAYORAN JAKARTA, KEMAYORAN, KOTA JAKARTA PUSATDKI JAKARTA",1,"STANDART CHARGING"
"SPKLU HVT PLAZA SUA",2025,"PT ARTHAMAS","TEBET BAR., KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU PT WIJAYA KARYA (PERSERO) TBK",2025,PLN,"JL. DI. PANJAITAN NO.KAV. 9-10, RT.1/RW.11, CIPINANG CEMPEDAK, KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13340",1,"MEDIUM CHARGING"
"SPKLU RUMAH DUKA CAROLUS",2025,PLN,"JL. SALEMBA RAYA NO.33, RT.3/RW.5, PASEBAN, KEC. SENEN, KOTA JAKARTA PUSAT",2,"MEDIUM CHARGING"
"SPKLU KBN CAKUNG",2025,PLN,"SUKAPURA, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU KBN CAKUNG",2025,PLN,"SUKAPURA, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU THE BALE",2025,PLN,"JL. TANAH LOT NO.3 2, RT.2/RW 12, KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU DPP PARTAI DEMOKRAT",2025,PLN,"JL. PROKLAMASI NO.41, RT.11/RW.2, PEGANGSAAN, KEC. MENTENG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10320",2,"MEDIUM CHARGING"
"SPKLU CSE PLN PUSAT",2025,"CS ENERGY","JALAN TRUNOJOYO BLOK M – I NO 135 KEBAYORAN BARU, JAKARTA",2,"ULTRA FAST CHARGING"
"SPKLU INTIBIOS HANGTUAH",2025,PLN,"JL, HANG TUAH 9, GUNUNG, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU MODULAR COFFEE",2025,PLN,"JALAN KEJAKSAAN RAYA NOMOR 38G, JL. KEJAKSAAN RAYA NO.38G, RT.4/RW.5, PD. BAMBU, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13430",1,"MEDIUM CHARGING"
"SPKLU EVCITY PLN UPDL JAKARTA",2025,"PT LISTRIK ANUGERAH DIVINA","JL. LETJEN S. PARMAN NO. 27 SLIPI, KEC. GROGOL PETAMBURAN, KOTA JAKARTA BARAT, DKI JAKARTA 11480",1,"ULTRA FAST CHARGING"
"SPKLU (ARISTA POWER) BYD KELAPA GADING",2025,ARISTA,"JL. SEDAYU BOULEVARD RAYA, CAKUNG BARAT., KEC. CAKUNG, JAKARTA TIMUR",1,"ULTRA FAST CHARGING"
"SPKLU (ARISTA POWER) BYD SAMANHUDI",2025,ARISTA,"JALAN SAMANHUDI NO.26 RW.3 PASAR BARU , KEC. SAWAH BESAR JAKARTA PUSAT",1,"ULTRA FAST CHARGING"
"SPKLU BATAVIA TCC",2025,PLN,"JL. K.H. MAS MANSYUR NO.KAV. 126, RT.9/RW.3, KARET TENGSIN, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10220",2,"MEDIUM CHARGING"
"SPKLU BRITS HOTEL PURI INDAH",2025,PLN,"JL. KEMBANG ABADI UTAMA NO.1 BLOK A1, RT.1/RW.8, KEMBANGAN SEL., KEC. KEMBANGAN, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11610",1,"MEDIUM CHARGING"
"SPKLU TELKOM SDA",2025,PLN,"JL. KEBON SIRIH NO.37, RT.14/RW.2, KB. SIRIH, KECAMATAN GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10110",1,"MEDIUM CHARGING"
"SPKLU CLUB HOUSE FLORENCE",2025,PLN,"CLUSTER FLORENCE, BUKIT GOLF MEDITERANIA, KAPUK MUARA, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",4,"MEDIUM CHARGING"
"SPKLU ARCICI SPORT CENTER",2025,PLN,"CEMPAKA PUTIH BARAT, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU KANAKA RESIDANCE",2025,PLN,"JL. LEBAK BULUS IV, RT.7/RW.4, CILANDAK BAR., KEC. CILANDAK",1,"MEDIUM CHARGING"
"SPKLU PT. USAHA JAYA PRIMA KARYA (UJPK)",2025,PLN,"GRAHA YPK PLN, JL, LEBAK BULUS TENGAH NO 5 CILANDAK BARAT",1,"MEDIUM CHARGING"
"SPKLU PLAZA HNI",2025,PLN,"PD. KLP., KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU MASJID JGC",2025,PLN,"JL. ASOCA JAKARTA GARDEN CITY, JAKARTA TIMUR",2,"MEDIUM CHARGING"
"SPKLU RSIA SAMMARIE BASRA",2025,PLN,"JL. JENDERAL BASUKI RACHMAT NO.31, RT.3/RW.2, PD. BAMBU, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR",2,"MEDIUM CHARGING"
"SPKLU MASJID AL MUHAJIRIN",2025,PLN,"JL. ANGGREK ROSLIANA BLOK F.4 KOMPLEK SLIPI, KELURAHAN KEMANGGISAN, KECAMATAN PALMERAH, KOTA JAKARTA BARAT, DAERAH KHUSUS JAKARTA",2,"MEDIUM CHARGING"
"SPKLU UCI BENY UNIVERSITAS PERBANAS II",2025,"PT USAHA CHUNLAN INDONESIA","JL. PERBANAS, RT.6/RW.7, KUNINGAN, KARET KUNINGAN, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU UCI BENY UNIVERSITAS PERBANAS II",2025,"PT USAHA CHUNLAN INDONESIA","JL. PERBANAS, RT.6/RW.7, KUNINGAN, KARET KUNINGAN, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU UCI BENY UNIVERSITAS PERBANAS I",2025,"PT USAHA CHUNLAN INDONESIA","JL. PERBANAS, RT.6/RW.7, KUNINGAN, KARET KUNINGAN, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU FNB PAKUBUWONO",2025,PLN,"JL. PAKUBUWONO VI NO.59, RT.11/RW.7, GUNUNG, KEC. KBY. BARU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12120",2,"MEDIUM CHARGING"
"SPKLU YAYASAN MENARA BHAKTI",2025,PLN,"SETU, KEC. CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13880",3,"MEDIUM CHARGING"
"SPKLU YAYASAN MENARA BHAKTI",2025,PLN,"SETU, KEC. CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13880",1,"FAST CHARGING"
"SPKLU RS ISLAM PONDOK KOPI",2025,PLN,"JL PONDOK KOPI RAYA, PONDOK KOPI, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU BHAWATA",2025,PLN,"JL. PROF. DR. SOEPOMO, SH D NO.55, TEBET BAR., KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU APARTEMEN SIGNATURE PARK GRANDE",2025,PLN,"JL. LETJEN M.T HARYONO, CAWANG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU GEDUNG GRAHA DIRGANTARA",2025,PLN,"JL RAYA HALIM PERDANAKUSUMA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU GEDUNG GRAHA DIRGANTARA",2025,PLN,"JL RAYA HALIM PERDANAKUSUMA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU KANTOR KELURAHAN KEMBANGAN SELATAN",2025,PLN,"KEMBANGAN SEL., KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU BP2TL (BALAI PENDIDIKAN DAN PELATIHAN TRANSPORTASI LAUT)",2025,PLN,"JL. MOCH. KAHFI 2 NO. 88 RT2 RW 5, CIPEDAK JAGAKARSA JAKARTA SELATAN",3,"MEDIUM CHARGING"
"SPKLU UJB HOTEL TAMARIN",2025,"PT USAHA CHUNLAN INDONESIA","JL. K.H. WAHID HASYIM NO.77, RT.1/RW.4, GONDANGDIA, KEC. MENTENG DAERAH KHUSUS IBUKOTA JAKARTA 10340",2,"ULTRA FAST CHARGING"
"SPKLU HVT GADING FESTIVAL",2025,"PT HIGH VOLT TECHNOLOGY","JL. SEDAYU CITY KELAPA GADING, RW. TERATE, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU HVT OLD SHANGHAI",2025,"PT HIGH VOLT TECHNOLOGY","JL. SEDAYU CITY KLP. GADING, KEC. CAKUNG, JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 14250",1,"ULTRA FAST CHARGING"
"SPKLU GRAHA MIR",2025,PLN,"JL. PEMUDA NO.9 1, RT.1/RW.3, RAWAMANGUN, KEC. PULO GADUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13220",1,"MEDIUM CHARGING"
"SPKLU TAKUA CAFE",2025,PLN,"JL. RW. BOLA RAYA, KLP. DUA WETAN, KEC. CIRACAS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13730",2,"MEDIUM CHARGING"
"SPKLU GWF SEDAYU CITY",2025,PLN,"JL. BOULEVARD SEDAYU KELAPA GADING, ABBEY AVENUE, KEC. CAKUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 14240",4,"MEDIUM CHARGING"
"SPKLU TRIBOON KEMANG",2025,PLN,"CILANDAK TIM., KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU SAKURA GARDEN",2025,PLN,"CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU SAKURA GARDEN",2025,PLN,"CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU PERMATA HIJAU SUITES",2025,PLN,"GROGOL UTARA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU TERAS BASOFI",2025,PLN,"PD. RANGGON, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU CAFE LIWET",2025,PLN,"JL. DAAN MOGOT KM.10 NO.151, KEDAUNG KALI ANGKE, KECAMATAN CENGKARENG, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11710",2,"MEDIUM CHARGING"
"SPKLU PUSDIKLAT PLN RAGUNAN",2025,PLN,"JL. RM. HARSONO NO. 59, RAGUNAN, PASAR MINGGU, JAKARTA SELATAN",1,"MEDIUM CHARGING"
"SPKLU MOBILE EV CHARGER PLN UP3 MENTENG",2025,PLN,"PLN UP3 MENTENG, JI. M.I. RIDWAN RAIS NO. 1, GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU UCI BENY JAECOO ARTA PLUIT",2025,"PT USAHA CHUNLAN INDONESIA","PLUIT, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU VLOCITY ARENA",2025,"PT USAHA CHUNLAN INDONESIA","JL. DAAN MOGOT NO.111 , RT.10/RW.2, WIJAYA KUSUMA, KEC. GROGOL PETAMBURAN, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 14460",1,"ULTRA FAST CHARGING"
"SPKLU CALMING CARE INDONESIA",2025,"CALMING CARE INDONESIA","PADEMANGAN TIM., JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",2,"ULTRA FAST CHARGING"
"SPKLU PULOGEBANG PERMAI",2025,PLN,"JL. PULO GEBANG PERMAI, RT.5/RW.13, UJUNG MENTENG, KEC. CAKUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13960",2,"MEDIUM CHARGING"
"SPKLU ELMIS CAFE",2025,PLN,"JL. CURUG RAYA NO. 23A, RT.1/RW.8, PD. KLP., KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13450",3,"MEDIUM CHARGING"
"SPKLU UCI BENY WISMA GADING PERMAI",2025,"PT USAHA CHUNLAN INDONESIA","JL. BULEVAR RAYA BLOK CN I, RT.7/RW.12, KEC. KELAPA GADING, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14240",2,"ULTRA FAST CHARGING"
"SPKLU KANTOR KELURAHAN MERUYA SELATAN",2025,"CS ENERGY","MERUYA SEL., KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU CITRA 2 EXT",2025,PLN,"JL. PETA SELATAN NO.39, KALIDERES, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11840",4,"MEDIUM CHARGING"
"SPKLU TENGAH, PEOPLE & PLACE PALMERAH",2025,PLN,"JL. BANG PITUNG NO.396, RT.1/RW.11, UTARA, KEC. KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11540",1,"ULTRA FAST CHARGING"
"SPKLU ELEVATED PARKING UTARA GBK",2025,PLN,"KOMPLEK GELORA BUNG KAMO, RT.1/RW.3, GELORA, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, DAERAH KHUSUS LBUKOTA JAKARTA 10270",2,"ULTRA FAST CHARGING"
"SPKLU ELEVATED PARKING UTARA GBK",2025,PLN,"KOMPLEK GELORA BUNG KAMO, RT.1/RW.3, GELORA, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, DAERAH KHUSUS LBUKOTA JAKARTA 10270",2,"MEDIUM CHARGING"
"SPKLU KANTOR PLN KALIDERES",2025,PLN,"JL. PETA SELATAN NO.39, KALIDERES, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11840",2,"MEDIUM CHARGING"
"SPKLU KANTOR KELURAHAN MERUYA UTARA",2025,PLN,"MERUYA UTARA, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU UJB MALL ARTHA GADING",2025,"PT USAHA JAYA MAS BAKTI","JL. ARTHA GADING SEL. NO.1, KELAPA GADING, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14240",2,"ULTRA FAST CHARGING"
"SPKLU UJB MALL ARTHA GADING",2025,"CS ENERGY","JL. ARTHA GADING SEL. NO.1, KELAPA GADING, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14240",1,"ULTRA FAST CHARGING"
"SPKLU UJB MALL ARTHA GADING",2025,"PT USAHA CHUNLAN INDONESIA","JL. ARTHA GADING SEL. NO.1, KELAPA GADING, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14240",1,"ULTRA FAST CHARGING"
"SPKLU UDIKLAT CENGKARENG",2025,PLN,"JL. KAMAL RAYA NO.26, RT.3/RW.6, WEST CENGKARENG, CENGKARENG, WEST JAKARTA CITY, JAKARTA 11820",1,"MEDIUM CHARGING"
"SPKLU JAKARTA GOLF CLUB",2025,PLN,"RAWAMANGUN, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU JAKARTA GOLF CLUB",2025,PLN,"RAWAMANGUN, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU HVT SOTHERN LAKE RESIDENCE",2025,"PT HIGH VOLT TECHNOLOGY","JL. DANAU SUNTER SELATAN NO.36 15, RT.15/RW.16, SUNTER AGUNG, KEC. TANJUNG PRIOK, JKT UTARA, DKI JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU APARTEMEN MAPLE PARK",2025,PLN,"SUNTER AGUNG, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU KEMENTERIAN PERINDUSTRIAN",2025,PLN,"JL. GATOT SUBROTO NO.KAV. 52-53, RT.1/RW.4, KUNINGAN TIM., KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12950",3,"MEDIUM CHARGING"
"SPKLU HVT ITC PERMATA HIJAU",2025,"PT HIGH VOLT TECHNOLOGY","JL. ARTERI PERMATA HIJAU NO.11, RT.11/RW.10, GROGOL UTARA, KEC. KEBAYORAN LAMA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12210",2,"ULTRA FAST CHARGING"
"SPKLU APARTEMEN L'AVENUE MC",2025,PLN,"JL. RAYA PASAR MINGGU NO.KAV.16, RT.7/RW.9, PANCORAN, JAKARTA SELATAN, DKI JAKARTA 12780",3,"MEDIUM CHARGING"
"SPKLU GRIYA INTI SENTOSA 2",2025,"PT USAHA CHUNLAN INDONESIA","JL. GRIYA AGUNG RW.020 SUNTER AGUNG, KECAMATAN TANJUNG PRIOK, JAKARTA UTARA 14350",1,"MEDIUM CHARGING"
"SPKLU MAHKAMAH KONSTITUSI",2025,PLN,"JL. MEDAN MERDEKA BARAT NO.6, RT.2/RW.3, GAMBIR, KECAMATAN GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10110",2,"MEDIUM CHARGING"
"SPKLU CLUSTER ROME",2025,"PT HIGH VOLT TECHNOLOGY","JL. ROME RT 17, KAPUK MUARA, KECAMATAN PENJARINGAN, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14460",2,"MEDIUM CHARGING"
"SPKLU EVCITY KEMENTRIAN PERDAGANGAN",2025,"PT LISTRIK ANUGERAH DIVINA","JL. M.I. RIDWAN RAIS NO.5 7, RT.7/RW.1, GAMBIR, KECAMATAN GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10110",3,"ULTRA FAST CHARGING"
"SPKLU HVT PLN UID JAKARTA RAYA",2025,"PT HIGH VOLT TECHNOLOGY","JL. M.I. RIDWAN RAIS NO.1, GAMBIR",1,"ULTRA FAST CHARGING"
"SPKLU CENTER HVT PLN UP3 BULUNGAN",2025,"PT HIGH VOLT TECHNOLOGY","JALAN SISINGAMANGARAJA NO.1",1,"ULTRA FAST CHARGING"
"SPKLU NISCALA PLN TANJUNG PRIOK",2025,"CS ENERGY","L. YOS SUDARSO NO.30, RT.19/RW.5, SUNTER JAYA, KEC. TJ. PRIOK, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14360",1,"ULTRA FAST CHARGING"
"SPKLU NISCALA PLN UID JAKARTA RAYA",2025,"CS ENERGY","JL. M.I. RIDWAN RAIS NO.1, GAMBIR",1,"ULTRA FAST CHARGING"
"SPKLU ZORA PLN UID JAKARTA RAYA",2025,"PT MEGA ENERGI BIRU INDONESIA","JL. M.I. RIDWAN RAIS NO.1, GAMBIR",1,"ULTRA FAST CHARGING"
"SPKLU DAYA+ PLN UP3 CEMPAKA PUTIH",2025,"PT ENERGI ANUGERAH DIVINA","JL. JENDERAL AHMAD YANI NO.15 KAV.60, RT.15/RW.3, CEMP. PUTIH TIM., KEC. CEMP. PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10640",2,"ULTRA FAST CHARGING"
"SPKLU NISCALA PLN UP3 BANDENGAN",2025,"CS ENERGY","JL. BANDENGAN UTARA RAYA NO.79, RW.16, PENJARINGAN, JAKARTA UTARA",1,"ULTRA FAST CHARGING"
"SPKLU EVCITY RS POLRI",2025,"PT LISTRIK ANUGERAH DIVINA","JL. RS POLRI NO 5, KRAMAT JATI, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13610",2,"ULTRA FAST CHARGING"
"SPKLU EVCITY GRAND WATERFRONT AGUNG SEDAYU",2025,"PT LISTRIK ANUGERAH DIVINA","JL. SEDAYU BOULEVARD RAYA, KELAPA GADING TIMUR, KEC. KLP. GADING, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13920",1,"ULTRA FAST CHARGING"
"SPKLU EVCITY PLN UP3 LENTENG AGUNG",2025,"PT LISTRIK ANUGERAH DIVINA","JL. DUREN TIGA RAYA",1,"ULTRA FAST CHARGING"
