nama_spklu,periode_data,owner_operator,lokasi,jumlah_unit,teknologi
"SPKLU PLN KANTOR PUSAT",2025,PLN,"JALAN TRUNOJOYO BLOK M – I NO 135 KEBAYORAN BARU, JAKARTA",1,"MEDIUM CHARGING"
"SPKLU KANTOR DJK KEMENTRIAN ESDM",2025,PLN,"JL. H.R. RASUNA SAID, BLOK X 2, KAV. 7-8, KUNINGAN, SETIABUDI, JAKARTA SELATAN",1,"MEDIUM CHARGING"
"SPKLU KANTOR DJK KEMENTRIAN ESDM",2025,PLN,"JL. H.R. RASUNA SAID, BLOK X 2, KAV. 7-8, KUNINGAN, SETIABUDI, JAKARTA SELATAN",2,"FAST CHARGING"
"SPKLU BBG PLAZA MANDIRI",2025,MANDIRI-HP,"JL. GATOT SUBROTO NO.KAV 36-38 RT.7/RW.3, SENAYAN, KEBAYORAN BARU, JAKARTA SELATAN",1,"MEDIUM CHARGING"
"SPKLU BBG PLAZA MANDIRI",2025,MANDIRI-HP,"JL. GATOT SUBROTO NO.KAV 36-38 RT.7/RW.3, SENAYAN, KEBAYORAN BARU, JAKARTA SELATAN",1,"FAST CHARGING"
"SPKLU PLN UP3 CEMPAKA PUTIH",2025,PLN,"JL. JEND. AHMAD YANI NO.15, RT.15/RW.3, CEMPAKA PUTIH, JAKARTA PUSAT",2,"MEDIUM CHARGING"
"SPKLU PLN UP3 PONDOK KOPI",2025,PLN,"JL. RADEN INTEN II NO.10, KALIMALANG, RT.4/RW.7, DUREN SAWIT, JAKARTA TIMUR, DKI JAKARTA 13930",1,"MEDIUM CHARGING"
"SPKLU AEON MALL TANJUNG BARAT",2025,PLN,"JL. RAYA TANJUNG BARAT NO.163, RW.4, TANJUNG BARAT, KEC. JAGAKARSA, JAKARTA SELATAN",1,"FAST CHARGING"
"SPKLU PLN UP3 BANDENGAN",2025,PLN,"JL. BANDENGAN UTARA RAYA NO.79, RW.16, PENJARINGAN, JAKARTA UTARA",1,"MEDIUM CHARGING"
"SPKLU AEON JGC",2025,"PT HIGH VOLT TECHNOLOGY","JL. JKT GARDEN CITY BOULEVARD NO.1, RW.6, CAKUNG TIMUR, KEC. CAKUNG, JAKARTA TIMUR",1,"ULTRA FAST CHARGING"
"SPKLU KFC ARTHA GADING",2025,"AGRA SURYA ENERGI","BOULEVARD ARTHA GADING, KELAPA GADING, JAKARTA UTARA",1,"MEDIUM CHARGING"
"SPKLU KFC ARTHA GADING",2025,"AGRA SURYA ENERGI","BOULEVARD ARTHA GADING, KELAPA GADING, JAKARTA UTARA",1,"FAST CHARGING"
"SPKLU MENARA BNI",2025,ARISTA,"JL. PEJOMPONGAN RAYA NO.20, BENDUNGAN HILIR, TANAH ABANG, JAKARTA PUSAT",1,"MEDIUM CHARGING"
"SPKLU MENARA BNI",2025,BNI,"JL. PEJOMPONGAN RAYA NO.20, BENDUNGAN HILIR, TANAH ABANG, JAKARTA PUSAT",1,"FAST CHARGING"
"SPKLU GRHA BNI",2025,ARISTA,"JL. JENDERAL SUDIRMAN NO.1, RW.11, KARET TENGSIN, TANAH ABANG, JAKARTA PUSAT",1,"MEDIUM CHARGING"
"SPKLU GRHA BNI",2025,BNI,"JL. JENDERAL SUDIRMAN NO.1, RW.11, KARET TENGSIN, TANAH ABANG, JAKARTA PUSAT",1,"FAST CHARGING"
